nha_cung_cap,dich_vu,dau_bao,nhom,vi_tri,gia_ncc_goc,gia_ncc_km,gia_ban_digicom,so_link,quy_cach,ghi_chu,nguon,ngay_cap_nhat
DanaSEO,booking-pr,24h.com.vn,PR bao lon,"Bài PR loại 2( TTTD,KD)",6000000,4500000,6000000,3 link no,"Bài PR dưới 1000 từ, dưới 5 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,24h.com.vn,PR bao lon,Bài PR loại 2 Mục còn lại,5000000,3800000,5000000,3 link no,"Bài PR dưới 1000 từ, dưới 5 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,24h.com.vn,PR bao lon,PR loại 1 (2h trang chủ),9000000,7300000,9000000,3 link no,"Bài PR dưới 1000 từ, dưới 5 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Dantri.com.vn,PR bao lon,Tiểu mục Nhóm 2,13000000,9200000,13000000,Mua 500k/link - 3 link 1tr,"Bài PR dưới 1000 từ, dưới 3 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Dantri.com.vn,PR bao lon,Tiểu mục Nhóm 1,15000000,10500000,15000000,Mua 500k/link - 3 link 1tr,"Bài PR dưới 1000 từ, dưới 3 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Vnexpress.net,PR bao lon,"Giáo dục, số hóa",12000000,9200000,12000000,2 link no,"Bài PR dưới 1000 từ, dưới 3 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Vnexpress.net,PR bao lon,Doanh nghiệp viết 1 - tồn tại 6 tháng,10000000,7800000,10000000,2 link no,"Bài PR dưới 1000 từ, dưới 3 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Vnexpress.net,PR bao lon,Doanh nghiệp viết 2 - tồn tại 24 tháng,15000000,11800000,15000000,2 link no,"Bài PR dưới 1000 từ, dưới 3 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Vnexpress.net,PR bao lon,Doanh nghiệp viết 3 - tồn tại theo domain,20000000,15300000,20000000,2 link no,"Bài PR dưới 1000 từ, dưới 3 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,nguoiquansat.vn,PR bao lon,Trang chủ,10000000,8000000,10000000,1 link nof (thêm link 500k/link),"Bài PR dưới 1800 từ, 5 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,nguoiquansat.vn,PR bao lon,Chuyên mục,5000000,2900000,5000000,1 link nof (thêm link 500k/link),"Bài PR dưới 1800 từ, 5 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,znews.vn,PR bao lon,Tiểu mục,10000000,7400000,10000000,2 link no,"Bài PR dưới 1000 từ, dưới 3 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,znews.vn,PR bao lon,Tiểu mục,12000000,9400000,12000000,,,,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Autopro.com.vn,PR bao lon,Chuyên mục,6000000,5500000,6000000,1 link no - thêm link 300k,"Bài PR dưới 1000 từ, dưới 5 ảnh",Anchortext để 2/3 cuối bài,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Autopro.com.vn,PR bao lon,Trang chủ,10000000,8600000,10000000,,"Bài PR dưới 1000 từ, dưới 5 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,kenh14.vn,PR bao lon,Tiểu mục ( Học đường/Công nghệ/Sao/Âm nhạc/Phim),4000000,3700000,4000000,1 link no - thêm link 300k,"Bài PR dưới 1000 từ, dưới 7 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,kenh14.vn,PR bao lon,Xem - Ăn - Chơi,7000000,6100000,7000000,,"Bài PR dưới 1000 từ, dưới 7 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,kenh14.vn,PR bao lon,Xem-Mua-Luôn/Ăn- Quẩy-Đi/ Beauty&Fashion,8000000,6800000,8000000,,"Bài PR dưới 1000 từ, dưới 7 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,kenh14.vn,PR bao lon,Trang Chủ,12000000,10200000,12000000,,"Bài PR dưới 1000 từ, dưới 7 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Thanhnien.vn,PR bao lon,PR cần biết,4000000,3700000,4000000,1link no (thêm 1 link/600k),"Bài PR 300 từ, 1 ảnh",Trên 300 từ tính phí 8.000đ/từ,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Thanhnien.vn,PR bao lon,Tiểu mục phù hợp,17000000,15500000,17000000,2 link no  (thêm 1 link/600k),"Bài PR dưới 1000 từ, dưới 3 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Cafebiz.vn,PR bao lon,Chuyên Mục,5000000,4500000,5000000,1 link no - thêm link 500k,"Bài PR dưới 1000 từ, dưới 3 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Cafebiz.vn,PR bao lon,Bài thương hiệu,9000000,7000000,9000000,,"Bài PR dưới 1000 từ, dưới 5 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Cafebiz.vn,PR bao lon,Trang chủ,12000000,10500000,12000000,,"Bài PR dưới 1000 từ, dưới 5 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,CafeF.vn,PR bao lon,Box Thông Cáo Báo chí (Trang chủ 1 ngày),6000000,5400000,6000000,1 link no - thêm link 500k,"Bài PR dưới 1000 từ, dưới 5 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,CafeF.vn,PR bao lon,Tin doanh nghiệp (Trang chủ 1 ngày),7500000,6600000,7500000,,,,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,CafeF.vn,PR bao lon,Chuyên mục nhóm 2 (CM còn lại),8000000,7100000,8000000,,"Bài PR dưới 1000 từ, dưới 5 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,CafeF.vn,PR bao lon,"Chuyên mục 1 ((BDS, DN, Tài Chính - Ngân hàng, Chứng khoán. Smart Money)",12000000,10400000,12000000,,"Bài PR dưới 1000 từ, dưới 5 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Cafeland.vn,PR bao lon,Tin ngắn,5000000,4800000,5000000,không chèn link,"400 từ, 1 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Cafeland.vn,PR bao lon,Mục phù hợp,12000000,10800000,12000000,1 link no,"Bài PR dưới 1000 từ, dưới 3 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Tienphong.vn,PR bao lon,bài chuyên mục phù hợp,6000000,4400000,6000000,Free 1 link đuôi .vn - Mua thêm link 2tr/link,"Bài PR dưới 800 từ, dưới 2 ảnh",,Sheet DanaSEO - PR bao lon,2026-07-14
DanaSEO,booking-pr,Vietnamnet.vn,PR bao lon,Tiểu mục,6000000,5000000,6000000,5tr/link no 3 tháng,"Bài PR dưới 1000 từ, dưới 3 ảnh",Anchortext để 2/3 cuối bài,Sheet DanaSEO - PR bao lon,2026-07-14
